ldong_code,univ_code,time
1111011200,C007,47
1111011200,C009,54
1111011200,C008,68
1111011200,E001,53
1111011200,M001,63
1111011200,P001,69
1111011200,P002,50
1111011200,U001,51
1111011200,U002,53
1111011200,U003,27
1111011200,U004,61
1111011200,U006,56
1111011200,U007,52
1111011200,U005,34
1111011200,U009,43
1111011200,U008,65
1111011200,U010,66
1111011200,U012,44
1111011200,U011,68
1111011200,U013,57
1111011200,U014,49
1111011200,U016,30
1111011200,U015,77
1111011200,U017,45
1111011200,U018,57
1111011200,U019,73
1111011200,U020,59
1111011200,U022,40
1111011200,U021,81
1111011200,U023,62
1111011200,U024,73
1111011200,U027,43
1111011200,U025,74
1111011200,U026,72
1111011200,U028,55
1111011200,U029,57
1111011200,U030,67
1111011200,U031,47
1111011200,U033,34
1111011200,U032,63
1111011200,U034,71
1111011200,U035,32
1111011200,U036,63
1111011200,U037,64
1111011200,U038,62
1111011200,U039,43
1111011200,U040,67
1111011200,U041,67
1111011200,U042,54
1111011200,U043,66
1111011200,U044,48
1111011200,U045,68
1111011200,U046,48
1111011200,V001,48
1111011200,U047,49
1111011300,C003,15
1111011200,V002,33
1111011300,B001,36
1111011300,C001,67
1111011300,C005,40
1111011300,C002,55
1111011300,C004,75
1111011300,C006,66
1111011300,C007,43
1111011300,C008,70
1111011300,C009,56
1111011300,E001,55
1111011300,M001,65
1111011300,P001,67
1111011300,P002,54
1111011300,U002,55
1111011300,U001,49
1111011300,U003,25
1111011300,U007,54
1111011300,U004,63
1111011300,U006,58
1111011300,U005,32
1111011300,U008,66
1111011300,U009,47
1111011300,U010,65
1111011300,U012,46
1111011300,U011,71
1111011300,U013,58
1111011300,U014,47
1111011300,U016,35
1111011300,U015,79
1111011300,U017,43
1111011300,U018,63
1111011300,U020,49
1111011300,U019,74
1111011300,U022,38
1111011300,U021,83
1111011300,U023,64
1111011300,U024,75
1111011300,U025,79
1111011300,U026,76
1111011300,U027,46
1111011300,U028,53
1111011300,U029,67
1111011300,U030,69
1111011300,U031,50
1111011300,U032,65
1111011300,U033,33
1111011300,U035,31
1111011300,U036,65
1111011300,U034,72
1111011300,U037,65
1111011300,U038,63
1111011300,U039,42
1111011300,U041,69
1111011300,U040,65
1111011300,U043,68
1111011300,U042,56
1111011300,U044,46
1111011300,U045,68
1111011300,U046,50
1111011300,U047,48
1111011300,V001,50
1111011400,C003,15
1111011300,V002,35
1111011400,B001,34
1111011400,C002,56
1111011400,C001,73
1111011400,C005,41
1111011400,C004,72
1111011400,C006,67
1111011400,C007,41
1111011400,C008,67
1111011400,C009,53
1111011400,E001,52
1111011400,M001,62
1111011400,P002,49
1111011400,P001,71
1111011400,U001,46
1111011400,U002,52
1111011400,U004,61
1111011400,U003,30
1111011400,U006,55
1111011400,U007,51
1111011400,U005,36
1111011400,U009,48
1111011400,U008,64
1111011400,U010,69
1111011400,U012,43
1111011400,U011,69
1111011400,U013,56
1111011400,U014,51
1111011400,U016,36
1111011400,U017,47
1111011400,U015,76
1111011400,U018,60
1111011400,U020,50
1111011400,U019,72
1111011400,U022,35
1111011400,U021,80
1111011400,U023,61
1111011400,U024,72
1111011400,U027,44
1111011400,U025,86
1111011400,U026,78
1111011400,U029,65
1111011400,U028,50
1111011400,U030,66
1111011400,U031,50
1111011400,U032,62
1111011400,U033,37
1111011400,U035,35
1111011400,U036,62
1111011400,U034,70
1111011400,U037,67
1111011400,U038,61
1111011400,U039,46
1111011400,U040,63
1111011400,U041,66
1111011400,U042,53
1111011400,U044,43
1111011400,U043,65
1111011400,U045,65
1111011400,U046,47
1111011400,U047,54
1111011400,V001,47
1111011400,V002,32
1111011500,C003,23
1111011500,B001,38
1111011500,C001,66
1111011500,C002,46
1111011500,C005,34
1111011500,C004,77
1111011500,C006,68
1111011500,C007,45
1111011500,C009,60
1111011500,C008,72
1111011500,E001,58
1111011500,P001,66
1111011500,P002,56
1111011500,M001,69
1111011500,U001,50
1111011500,U002,58
1111011500,U003,25
1111011500,U004,67
1111011500,U006,74
1111011500,U007,60
1111011500,U008,70
1111011500,U009,52
1111011500,U005,31
1111011500,U010,64
1111011500,U011,73
1111011500,U012,49
1111011500,U013,62
1111011500,U016,40
1111011500,U014,46
1111011500,U017,42
1111011500,U015,82
1111011500,U018,65
1111011500,U019,78
1111011500,U020,48
1111011500,U022,40
1111011500,U021,83
1111011500,U023,81
1111011500,U024,79
1111011500,U025,79
1111011500,U026,80
1111011500,U027,48
1111011500,U028,55
1111011500,U029,69
1111011500,U030,60
1111011500,U031,54
1111011500,U032,65
1111011500,U033,32
1111011500,U035,30
1111011500,U034,76
1111011500,U036,68
1111011500,U037,64
1111011500,U038,67
1111011500,U040,67
1111011500,U041,85
1111011500,U043,71
1111011500,U042,60
1111011500,U044,48
1111011500,U045,70
1111011500,U039,41
1111011500,U046,53
1111011500,U047,47
1111011500,V002,38
1111011500,V001,53
1111011600,B001,39
1111011600,C002,59
1111011600,C001,70
1111011600,C003,38
1111011600,C004,64
1111011600,C005,44
1111011600,C006,58
1111011600,C007,40
1111011600,C008,65
1111011600,C009,46
1111011600,E001,54
1111011600,M001,56
1111011600,P001,64
1111011600,P002,46
1111011600,U001,51
1111011600,U002,54
1111011600,U005,30
1111011600,U003,31
1111011600,U004,56
1111011600,U006,53
1111011600,U007,45
1111011600,U009,51
1111011600,U008,62
1111011600,U010,63
1111011600,U012,45
1111011600,U011,64
1111011600,U013,50
1111011600,U014,56
1111011600,U016,38
1111011600,U015,70
1111011600,U017,44
1111011600,U018,57
1111011600,U019,66
1111011600,U020,56
1111011600,U021,79
1111011600,U022,40
1111011600,U023,66
1111011600,U024,66
1111011600,U027,45
1111011600,U025,82
1111011600,U028,48
1111011600,U026,69
1111011600,U029,54
1111011600,U030,49
1111011600,U031,41
1111011600,U033,41
1111011600,U032,65
1111011600,U035,42
1111011600,U036,57
1111011600,U037,57
1111011600,U034,64
1111011600,U038,63
1111011600,U039,44
1111011600,U040,72
1111011600,U041,71
1111011600,U042,52
1111011600,U043,60
1111011600,U044,51
1111011600,U045,61
1111011600,V002,34
1111011600,U047,42
1111011600,V001,50
1111011600,U046,43
1111011700,B001,39
1111011700,C003,38
1111011700,C002,61
1111011700,C001,66
1111011700,C004,64
1111011700,C005,46
1111011700,C009,47
1111011700,C006,58
1111011700,C007,40
1111011700,C008,66
1111011700,E001,58
1111011700,P002,47
1111011700,P001,65
1111011700,M001,57
1111011700,U001,51
1111011700,U002,58
1111011700,U005,31
1111011700,U003,27
1111011700,U004,57
1111011700,U006,54
1111011700,U007,46
1111011700,U009,53
1111011700,U010,63
1111011700,U008,63
1111011700,U011,64
1111011700,U012,45
1111011700,U013,51
1111011700,U016,41
1111011700,U014,53
1111011700,U015,71
1111011700,U017,50
1111011700,U018,58
1111011700,U019,66
1111011700,U020,57
1111011700,U022,33
