adong_code,univ_code,time
1114054000,U031,40
1114054000,U029,50
1114054000,U030,51
1114054000,U032,57
1114054000,U033,43
1114054000,U035,38
1114054000,U034,66
1114054000,U036,58
1114054000,U038,51
1114054000,U037,56
1114054000,U039,40
1114054000,U042,53
1114054000,U040,68
1114054000,U041,60
1114054000,U043,61
1114054000,U044,41
1114054000,U046,43
1114054000,U045,58
1114054000,V001,57
1114054000,V002,20
1114054000,U047,52
1114055000,B001,33
1114055000,C003,44
1114055000,C001,73
1114055000,C004,64
1114055000,C002,65
1114055000,C007,15
1114055000,C005,47
1114055000,C006,65
1114055000,C009,51
1114055000,C008,64
1114055000,E001,47
1114055000,M001,74
1114055000,P002,49
1114055000,P001,77
1114055000,U001,40
1114055000,U002,44
1114055000,U003,42
1114055000,U004,58
1114055000,U005,45
1114055000,U007,56
1114055000,U006,51
1114055000,U009,52
1114055000,U008,59
1114055000,U010,76
1114055000,U013,53
1114055000,U014,62
1114055000,U016,54
1114055000,U011,58
1114055000,U015,75
1114055000,U017,55
1114055000,U012,36
1114055000,U018,52
1114055000,U019,67
1114055000,U020,68
1114055000,U022,35
1114055000,U021,67
1114055000,U023,67
1114055000,U024,71
1114055000,U025,74
1114055000,U027,49
1114055000,U026,72
1114055000,U028,44
1114055000,U030,53
1114055000,U029,49
1114055000,U031,37
1114055000,U032,53
1114055000,U033,57
1114055000,U035,53
1114055000,U034,67
1114055000,U036,57
1114055000,U037,64
1114055000,U039,44
1114055000,U038,52
1114055000,U040,66
1114055000,U041,59
1114055000,U043,60
1114055000,U042,49
1114055000,U044,39
1114055000,V002,15
1114055000,U045,56
1114055000,U046,45
1114055000,U047,47
1114055000,V001,42
1114057000,B001,37
1114057000,C003,48
1114057000,C001,73
1114057000,C002,63
1114057000,C004,57
1114057000,C007,55
1114057000,C005,51
1114057000,C006,61
1114057000,C009,51
1114057000,E001,51
1114057000,C008,67
1114057000,M001,61
1114057000,P002,46
1114057000,P001,81
1114057000,U002,51
1114057000,U001,43
1114057000,U003,46
1114057000,U004,59
1114057000,U006,54
1114057000,U005,46
1114057000,U007,49
1114057000,U012,15
1114057000,U009,56
1114057000,U008,63
1114057000,U011,62
1114057000,U010,79
1114057000,U013,54
1114057000,U014,60
1114057000,U016,52
1114057000,U017,65
1114057000,U018,56
1114057000,U015,75
1114057000,U019,70
1114057000,U020,63
1114057000,U021,73
1114057000,U022,38
1114057000,U023,60
1114057000,U024,71
1114057000,U027,51
1114057000,U025,80
1114057000,U028,47
1114057000,U026,78
1114057000,U029,52
1114057000,U030,60
1114057000,U031,44
1114057000,U032,59
1114057000,U033,54
1114057000,U035,52
1114057000,U034,68
1114057000,U036,60
1114057000,U038,58
1114057000,U037,62
1114057000,U039,50
1114057000,U040,64
1114057000,U041,62
1114057000,U042,53
1114057000,U043,63
1114057000,U044,43
1114057000,U045,60
1114057000,V001,46
1114057000,U046,45
1114057000,V002,28
1114057000,U047,53
1114058000,B001,36
1114058000,C003,45
1114058000,C004,58
1114058000,C001,73
1114058000,C002,60
1114058000,C005,49
1114058000,C006,70
1114058000,C009,52
1114058000,C008,69
1114058000,E001,44
1114058000,P002,41
1114058000,M001,54
1114058000,P001,76
1114058000,C007,41
1114058000,U001,43
1114058000,U002,44
1114058000,U003,42
1114058000,U004,60
1114058000,U005,42
1114058000,U006,52
1114058000,U007,50
1114058000,U012,15
1114058000,U009,62
1114058000,U008,57
1114058000,U010,74
1114058000,U011,63
1114058000,U013,48
1114058000,U014,57
1114058000,U016,49
1114058000,U015,68
1114058000,U017,51
1114058000,U018,56
1114058000,U021,72
1114058000,U020,60
1114058000,U019,64
1114058000,U022,43
1114058000,U023,60
1114058000,U024,64
1114058000,U025,82
1114058000,U027,48
1114058000,U026,80
1114058000,U028,47
1114058000,U029,52
1114058000,U030,58
1114058000,U031,44
1114058000,U033,52
1114058000,U032,54
1114058000,U034,69
1114058000,U035,50
1114058000,U036,64
1114058000,U037,59
1114058000,U038,53
1114058000,U039,48
1114058000,U040,56
1114058000,U041,62
1114058000,U043,66
1114058000,U042,59
1114058000,U044,45
1114058000,U045,60
1114059000,B001,28
1114058000,U046,46
1114058000,V002,28
1114058000,V001,39
1114058000,U047,52
1114059000,C003,45
1114059000,C004,49
1114059000,C001,67
1114059000,C002,61
1114059000,C005,48
