sttn_id,stop_number
13733,08146
13737,08198
13747,05222
13752,11450
13759,06255
13767,07219
13771,24156
13773,07255
13777,11406
13778,07224
13780,07238
13781,11487
13797,05155
13816,07296
13829,05165
13865,24194
13871,24193
13900,24211
13923,24232
13938,24205
13940,24370
13945,24101
13959,24223
13975,24264
13994,24360
140,15700
14001,24355
14007,24242
14008,24353
14021,24235
14034,24236
14047,25205
14049,25204
14057,25184
14058,25185
14061,24282
14064,24286
14074,25178
14077,25138
142,15702
14303,03232
14340,02230
14341,02229
14384,21273
14393,21280
14397,21282
14406,21278
14410,22300
14448,23261
14449,23250
14450,23202
14472,06324
14473,05687
14487,07347
14494,08160
14503,01235
14508,01236
14514,17120
14521,03268
14537,23339
14560,04261
14564,19314
14571,17172
14586,18658
14587,18657
14588,19315
14595,19310
14603,22217
14604,22203
14620,11416
14630,19298
14632,19311
14654,16303
14657,16160
14659,03180
14661,03182
14662,03181
14669,15155
14674,18740
14675,18741
14684,15294
14689,15402
147,18004
14702,10113
14705,06279
14709,11417
14782,13250
14786,18223
14789,01240
14792,22211
14794,22150
148,18008
14806,15186
14807,15187
14811,17247
14812,17245
14823,04221
14824,11243
14826,05121
14827,05120
14828,05123
14829,05122
14831,24183
14832,24170
14848,23462
14856,11476
14863,24429
14864,24279
14865,24285
14875,24374
14893,24380
149,18010
14909,15299
14910,15300
14911,15242
14912,15277
14913,15174
14917,15269
14920,11333
14922,21300
14923,21301
14943,18222
14945,13285
14948,15330
14994,18202
150,18012
15020,14153
15023,08320
15024,08321
15047,10276
15059,09237
15064,10273
15065,10272
15070,10271
15071,10270
15077,10299
15081,10142
15082,10141
15100,11445
15135,06293
15136,06295
15171,22320
15187,24253
15188,24274
15191,11158
15225,21259
15226,21264
15235,11462
15238,06253
15239,06358
15240,03245
15241,03246
15242,04204
15243,04203
15244,04288
15245,04291
15269,19275
15270,19294
153,18009
15345,10257
15390,16103
15445,10129
15451,06335
15523,03207
15552,21338
15559,07234
15560,07237
15561,07239
15563,25290
15564,25289
15569,13325
15593,24258
15594,24256
15596,25186
15597,25187
15604,10305
15669,24105
15670,24106
15708,11309
15758,22123
15772,19278
15816,06303
15823,05237
15824,07367
15850,07143
15893,08240
15906,21260
160031,21147
160060,21156
160069,21293
160080,21292
160281,13281
16076,22323
16077,22322
161,17869
16110,03266
16118,02210
16119,03176
16130,07286
16157,13749
16159,24431
16179,06118
162,17011
16203,24393
16204,24406
16206,24430
16301,07377
16302,07376
16303,07375
16304,07371
16305,07372
16306,07429
16307,07357
16308,07358
16309,07359
16310,07363
16311,07365
16312,07369
16314,07378
16318,07364
16319,07362
16320,07370
16321,07361
16322,07360
16343,21165
16430,16432
16431,16431
16444,23436
16457,12423
16458,12422
16485,13262
166,17878
168,17880
170300,17298
170564,11326
170565,11328
170574,11283
170630,21276
170631,21290
170634,21294
170635,21297
170636,21298
170637,21299
170638,21127
170675,21274
170755,21157
170756,21158
170757,21159
170760,21142
170761,21143
170815,16154
170823,12436
170964,24403
171022,15194
171023,15193
171040,12415
171044,12416
171053,13125
171087,12417
171088,13265
171089,12418
171275,21166
171276,21167
171281,21267
171282,21268
171283,21211
171288,21206
171289,21205
171325,21219
171330,21214
171332,21212
171333,21265
171334,21266
171339,21178
171340,21179
171341,21180
171351,21337
171353,21112
171355,21114
171585,16232
171587,16228
171588,16226
171820,16410
171920,21204
171985,21153
171999,21148
172252,02153
172469,15361
172473,15154
172476,15142
172545,03158
172627,07281
172628,07354
172713,12421
172751,12430
173013,09226
173031,06152
173074,09146
173189,06244
173190,06246
173191,06248
173196,06249
173198,06245
173199,06243
173537,09283
173693,03179
173869,08358
173886,08357
174436,13156
174577,21145
174813,10250
174814,10248
174993,19283
175415,06130
175475,06265
175476,06262
175477,06263
175479,06252
175480,06250
175496,06232
175503,06155
176335,15323
176526,15399
176859,10330
176900,10264
177296,03320
177897,02210
183,21833
184,21832
185,21830
186,21828
187,19839
188,17868
189,17866
190,17897
191,15694
1911,18708
192,15692
194,15703
195,16842
196,16007
197,16009
198,16011
199,16013
20056,11127
201,16010
20121,18224
20196,13200
202,16008
20224,16224
20228,22291
20229,22292
20274,17105
20275,17103
204,16002
205,16001
206,16003
207,16841
210,15691
217,21829
220,14818
225,12742
2266,16220
2272,16366
2273,16367
2274,16368
2275,16369
228,12018
230,12608
231,12017
233,12743
234,12745
235,12748
236,14816
237,14815
241,13028
243,13032
244,13029
245,13778
248,13775
249,13773
259,14014
260,14895
261,14011
262,14013
263,14062
267,13253
268,13046
269,13045
270631,21290
272,13021
273,19826
276335,15323
276526,15399
279,19820
280,19822
2803384,32002
2803385,32001
2803386,31050
2803390,31018
2803391,31017
2803392,31016
2803394,31072
2803395,31013
2803397,31010
2803398,31008
2803399,31007
2803401,31005
2803402,31003
2803403,31002
2803415,28018
2803416,28017
2803431,25031
2803432,25030
2803433,25029
2803434,25028
2803435,25027
2803436,25026
2803437,25024
2803438,25023
2803451,25009
2803452,25008
2803453,25006
2803456,25002
2803476,23002
2803481,22003
2803567,32008
2803568,32007
2803569,31035
2803570,31034
2803572,31031
2803573,31033
2804881,25046
2805014,31037
2805046,31057
2805047,32055
2805157,23029
2805158,14012
2805159,23037
2805160,23038
2805161,23032
2805162,23031
2805163,23034
2805164,22013
2805165,23035
2805166,22014
2805167,22012
2805168,23033
2805171,25164
2805172,25144
2805554,25174
2805648,31076
2805673,31073
2805763,25184
2805764,25185
2805979,22058
2806082,25091
2806228,25182
2806237,22022
2807071,14149
2807184,22242
2807432,23011
2807643,22140
2807645,23288
2807646,23488
2807647,23504
2807648,23318
2807649,22129
2807768,23259
2807769,23218
2807770,23251
2807771,23201
2807772,23572
2807775,22962
2807776,22286
2808485,19283
2808486,19155
2808487,19255
2808500,19156
2808501,14001
2808552,22905
2808603,23396
2808789,22291
2808811,16019
2808812,16018
2808813,16021
2808823,19019
2808852,16394
2808853,16396
2808854,16386
2808855,16621
2808918,22152
2808919,22851
2808929,19017
2808930,19158
2808931,19290
2808932,19152
2808933,19645
2808934,19996
2808935,19175
2808961,18106
2808962,18108
2808963,18114
2808964,17725
2808965,21002
2808966,17229
2808967,17122
2808968,17127
2808969,18780
2808970,18110
2808971,18107
2809049,22385
2809050,22836
282,19604
284,19861
288,14001
290,14004
293,14008
294,14006
296,14803
299,03730
304,03728
31097,23296
311,03324
31104,23213
31121,23297
31125,23481
31126,23504
312,03002
31524,23343
31527,23505
31528,23371
31529,23372
31530,23373
31531,23374
31533,23698
31534,23749
31538,23323
31539,23720
31541,23375
31542,23376
31543,23377
31544,23378
31545,23379
31565,23468
31575,22305
31577,23470
31606,02220
31823,06359
31832,07411
31833,07409
31883,16172
31896,16745
31897,16326
31898,16378
31899,16327
319,03010
31908,16379
31909,16430
31939,16321
31940,16375
31952,16373
31971,19389
31972,19390
31977,19236
31982,19105
320,03008
321,03004
32155,11293
32159,11308
32184,11294
324,02003
32572,07337
326,02664
32631,07336
32640,07401
32641,07403
32642,07405
32649,07430
32659,07407
32660,07406
32661,07404
32662,07402
32666,07328
32670,07335
32723,18219
32724,18140
32731,18204
32732,18205
32733,18206
32734,18207
32735,18208
32738,18211
32739,18212
32740,18213
32741,18214
32748,18141
32887,24139
330,02662
33024,10179
33027,10174
33028,10176
33029,10178
33032,10120
33035,10314
33038,10262
33039,10315
33041,10311
33042,10127
33047,10177
33048,10175
33049,10173
33050,10309
33051,10180
33052,10320
33062,03238
33066,03247
33074,03205
33075,03204
33076,03206
331,01762
343,01781
344,01779
345,01777
347,01780
355,23382
356,23387
357,23362
358,23832
359,23839
361,23840
362,23316
366,23841
369,22008
372,22007
380,06755
381,06756
382,06757
383,06758
384,06006
385,01044
386,01041
388,01037
390,01767
392,01763
397,01771
398,02156
399,02163
400,02669
4000013,24711
4000059,02681
4000062,02709
4000064,02679
4000211,17752
4000247,02661
4000249,02708
4000250,02682
4000271,23179
4000272,23848
4000348,23838
4000352,23842
4000386,22822
4000404,03752
4000407,03735
4000408,03729
4000410,03733
4000441,03732
4000444,03734
4000461,09279
4000506,11316
4000515,14614
4000785,21801
4000840,16891
4000856,22539
4000857,22793
4001047,25723
4001050,25726
4001088,25782
4001089,25728
4001090,24745
4001091,24771
4001092,24769
4001093,24767
4001094,24740
4001095,24741
4001213,02643
4001541,02710
4001542,02711
4001546,02640
4001552,24620
4001553,05168
4001563,02507
4001564,02712
4001565,02111
4001588,20808
4001590,20807
4001592,20790
4001593,20496
4001595,22344
4001596,19801
4001597,19804
4001599,92612
4001601,14854
4001628,14861
4001640,20993
4001641,19994
4001644,19977
4001645,16990
4001659,14830
4001663,23983
4001664,22998
4001665,20987
4001674,14995
4001675,14998
4001677,14664
4001678,14665
4001679,23881
4001680,23989
4001706,14986
4001738,23390
4001743,01702
4001745,01683
4001754,23912
4001755,14609
4001758,20965
4001760,41601
4001763,01901
4001764,23885
4001770,22801
4001772,23391
4001778,16913
4001782,19902
4001792,22543
4001794,23816
4001802,19326
4001804,19180
4001805,19113
4001812,16801
4001815,23493
4001816,23861
4001817,23863
4001824,23851
4001855,16405
4001856,16409
40023,24131
40032,24397
40054,24129
40061,24116
40069,24102
40074,24394
403,08007
405,08009
406,01003
410,16012
4100178,84015
4100336,91108
4100337,91107
4100338,91101
4100339,91103
4100341,91098
4100344,91094
4100345,91093
4100348,91087
4100350,91081
4100351,91084
4100353,91075
4100354,91077
4100355,91073
4100356,91069
4100357,91070
4100374,91128
4100375,91206
4100377,91123
4100378,91122
4100506,11316
4100714,85017
4100717,90235
4100720,85003
4100721,85004
4100725,87016
4100726,87028
4100729,87044
4100730,87040
4100731,87035
4100741,87057
4100746,87093
4100747,87085
4100749,84043
4100753,84019
4100754,84017
4100764,84021
4100765,84029
4100766,13133
4100768,84061
4100769,84066
4100770,84067
4100771,84070
4100772,84071
4100773,84075
4100774,84073
4100798,83021
4101342,87066
